Reservoir,Year,Date,Secchi_m,Notes
BVR,2016,2016-04-05,2.21,
BVR,2016,2016-04-20,2.49,
BVR,2016,2016-04-23,1.74,
BVR,2016,2016-05-04,3.08,
BVR,2016,2016-05-12,4.04,
BVR,2016,2016-05-19,3.25,
BVR,2016,2016-05-26,3.45,
BVR,2016,2016-05-29,2.76,
BVR,2016,2016-05-31,3.02,
BVR,2016,2016-06-02,4.2,
BVR,2016,2016-06-08,3.9,
BVR,2016,2016-06-16,3.3,
BVR,2016,2016-06-23,3.9,
BVR,2016,2016-06-26,2.785,
BVR,2016,2016-06-28,3.5,
BVR,2016,2016-06-30,3.06,
BVR,2016,2016-07-07,3.08,
BVR,2016,2016-07-14,3.1,
BVR,2016,2016-07-21,2.7,
BVR,2016,2016-07-24,2.3,
BVR,2016,2016-07-28,2.47,
BVR,2016,2016-08-04,1.79,
BVR,2016,2016-08-11,1.9,
BVR,2016,2016-08-18,2.65,
BVR,2016,2016-08-23,2.87,
BVR,2016,2016-09-06,2.13,
BVR,2016,2016-09-27,2.215,
BVR,2016,2016-10-11,2.3,
BVR,2016,2016-10-25,2.24,