Reservoir,Year,Date,Depth,TN_ugL,TP_ugL,SRP_ugL,NH4_ugL,NO3NO2_ugL,DOC_mgL,DIC_mgL,TOC_mgL,TIC_mgL,DRSI_mgL,CO2_ppm,CH4_ppm,Notes
FCR,2014,2014-01-15 12:00:00,0.1,,,1.27,15.2,16.5,,,,,,,,
FCR,2014,2014-01-15 12:00:00,0.8,,,1.78,13.9,20.9,,,,,,,,
FCR,2014,2014-01-15 12:00:00,1.6,,,2.53,14.5,13.5,,,,,,,,
FCR,2014,2014-01-15 12:00:00,2.8,,,1.99,18.9,13.4,,,,,,,,
FCR,2014,2014-01-15 12:00:00,3.8,,,3.14,14.3,14.2,,,,,,,,
FCR,2014,2014-01-15 12:00:00,5,,,2.58,14.9,16.7,,,,,,,,
FCR,2014,2014-01-15 12:00:00,6.2,,,1.64,13.5,13.1,,,,,,,,
FCR,2014,2014-01-15 12:00:00,8,,,2.11,12.9,12.9,,,,,,,,
FCR,2014,2014-02-24 12:00:00,0.1,,,2.98,28.1,6.59,,,,,,,,
FCR,2014,2014-02-24 12:00:00,0.8,,,1.62,14.5,6.13,,,,,,,,
FCR,2014,2014-02-24 12:00:00,1.6,,,1.57,13.3,5.16,,,,,,,,
FCR,2014,2014-02-24 12:00:00,2.8,,,2.23,9.96,5.12,,,,,,,,
FCR,2014,2014-02-24 12:00:00,3.8,,,2.12,9.82,7.47,,,,,,,,
FCR,2014,2014-02-24 12:00:00,5,,,0.742,6.23,2.77,,,,,,,,
FCR,2014,2014-02-24 12:00:00,6.2,,,2.89,8.44,5.77,,,,,,,,
FCR,2014,2014-02-24 12:00:00,8,,,3.35,7.63,5.71,,,,,,,,
FCR,2014,2014-02-24 12:00:00,9,,,1.93,8.86,6.36,,,,,,,,
FCR,2014,2014-03-07 12:00:00,0.1,,,3.17,14,4.9,,,,,,,,
FCR,2014,2014-03-07 12:00:00,0.8,,,2.58,8.33,2.85,,,,,,,,
FCR,2014,2014-03-07 12:00:00,1.6,,,1.77,9.39,2.7,,,,,,,,
FCR,2014,2014-03-07 12:00:00,2.8,,,1.63,7.06,2.93,,,,,,,,
FCR,2014,2014-03-07 12:00:00,3.8,,,2.14,6.31,2.04,,,,,,,,
FCR,2014,2014-03-07 12:00:00,5,,,2.03,8.74,1.43,,,,,,,,
FCR,2014,2014-03-07 12:00:00,6.2,,,2.37,6.53,2.61,,,,,,,,
FCR,2014,2014-03-07 12:00:00,8,,,1.83,11.6,7.27,,,,,,,,
FCR,2014,2014-03-07 12:00:00,9,,,1.9,8.32,2.35,,,,,,,,
FCR,2014,2014-03-20 12:00:00,0.1,150,21.2,2.83,45,3.25,,21.2,,,,,,
FCR,2014,2014-03-20 12:00:00,0.8,126,8.37,,,,,8.37,,,,,,
FCR,2014,2014-03-20 12:00:00,1.6,162,16.8,2.24,12.3,3.15,,16.8,,,,,,
FCR,2014,2014-03-20 12:00:00,2.8,170,22.2,2.35,9.3,2.74,,22.2,,,,,,
FCR,2014,2014-03-20 12:00:00,3.8,190,16.3,,,,,16.3,,,,,,
FCR,2014,2014-03-20 12:00:00,5,199,21.7,1.94,6.22,0.908,,21.7,,,,,,
FCR,2014,2014-03-20 12:00:00,6.2,205,19.6,1.67,6.52,1.79,,19.6,,,,,,
FCR,2014,2014-03-20 12:00:00,8,161,20.5,2.37,7.39,2.85,,20.5,,,,,,
FCR,2014,2014-03-20 12:00:00,9,196,19.3,3.7,7.88,2.42,,19.3,,,,,,
FCR,2014,2014-04-01 12:00:00,0.1,147,15.6,2.32,9.56,2.85,,15.6,,,,,,
FCR,2014,2014-04-01 12:00:00,0.8,147,15.6,2.12,5.79,1.63,,15.6,,,,,,
FCR,2014,2014-04-01 12:00:00,1.6,161,18.8,2.48,4.89,1.25,,18.8,,,,,,
FCR,2014,2014-04-01 12:00:00,2.8,142,12.3,1.73,5.32,1.23,,12.3,,,,,,
FCR,2014,2014-04-01 12:00:00,3.8,160,17.3,3.61,6.5,2.52,,17.3,,,,,,
FCR,2014,2014-04-01 12:00:00,5,165,18.5,0.213,5.34,1.67,,18.5,,,,,,
FCR,2014,2014-04-01 12:00:00,6.2,175,20.1,1.59,5.16,2.59,,20.1,,,,,,
FCR,2014,2014-04-01 12:00:00,8,172,16.6,1.43,6.23,5.53,,16.6,,,,,,
FCR,2014,2014-04-01 12:00:00,9,182,19.4,1.27,9.84,7.84,,19.4,,,,,,
FCR,2014,2014-04-01 12:00:00,999,,,7.3,8.52,72.8,,,,,,,,
FCR,2014,2014-04-08 12:00:00,0.1,190,16.7,1.68,4.89,0.94,,16.7,,,,,,
FCR,2014,2014-04-08 12:00:00,0.8,219,19.8,3.02,9.11,2.32,,19.8,,,,,,
FCR,2014,2014-04-08 12:00:00,1.6,,,2.56,10.1,2.06,,,,,,,,
FCR,2014,2014-04-08 12:00:00,2.8,171,14.3,2.58,7.43,2.01,,14.3,,,,,,
FCR,2014,2014-04-08 12:00:00,3.8,293,18.8,3.4,7.67,1.7,,18.8,,,,,,
FCR,2014,2014-04-08 12:00:00,5,184,16.4,4.24,7.12,2.12,,16.4,,,,,,
FCR,2014,2014-04-08 12:00:00,6.2,242,23.4,3.64,6.42,0.971,,23.4,,,,,,
FCR,2014,2014-04-08 12:00:00,8,140,12.7,2.95,6.97,1.15,,12.7,,,,,,
FCR,2014,2014-04-08 12:00:00,9,213,20.7,1.98,7.49,1.41,,20.7,,,,,,
FCR,2014,2014-04-08 12:00:00,999,,,7.44,9.86,61.3,,,,,,,,
FCR,2014,2014-04-16 12:00:00,0.1,249,17.6,1.99,5.6,2.51,,17.6,,,,,,
FCR,2014,2014-04-16 12:00:00,0.8,229,14.9,2.48,10.3,5.82,,14.9,,,,,,
FCR,2014,2014-04-16 12:00:00,1.6,386,18.6,2.69,20.2,4.28,,18.6,,,,,,
FCR,2014,2014-04-16 12:00:00,2.8,198,17,2.41,15.2,2.76,,17,,,,,,
FCR,2014,2014-04-16 12:00:00,3.8,268,18.4,3.21,8.1,2.27,,18.4,,,,,,
FCR,2014,2014-04-16 12:00:00,5,232,20.8,3.21,7.46,1.01,,20.8,,,,,,
FCR,2014,2014-04-16 12:00:00,6.2,199,16.5,2.84,8.5,1.5,,16.5,,,,,,
FCR,2014,2014-04-16 12:00:00,8,219,13.7,,,,,13.7,,,,,,
FCR,2014,2014-04-16 12:00:00,9,243,20.2,3.65,14.6,1.48,,20.2,,,,,,
FCR,2014,2014-04-16 12:00:00,999,,,6.07,8.3,46.1,,,,,,,,
FCR,2014,2014-04-21 12:00:00,0.1,143,13.6,2.58,16.1,2.78,1.94,13.6,,,8.006448,,,
FCR,2014,2014-04-21 12:00:00,0.8,292,11.6,2.96,12.4,3.06,,11.6,,,,,,
FCR,2014,2014-04-21 12:00:00,1.6,157,12.9,1.3,6.52,1.47,,12.9,,,,,,
FCR,2014,2014-04-21 12:00:00,2.8,158,11.8,1.1,3.11,0.434,,11.8,,,,,,
FCR,2014,2014-04-21 12:00:00,3.8,180,16.6,2.36,6.1,0.00787,,16.6,,,,,,
FCR,2014,2014-04-21 12:00:00,5,224,23,2.87,6.64,0.596,,23,,,,,,
FCR,2014,2014-04-21 12:00:00,6.2,220,23.4,3.88,10.1,1.07,,23.4,,,,,,
FCR,2014,2014-04-21 12:00:00,8,215,15.3,2.3,11.9,2.21,,15.3,,,,,,
FCR,2014,2014-04-21 12:00:00,9,255,22,2.54,8.85,1.58,2.1,22,,,3.577961,,,
FCR,2014,2014-04-21 12:00:00,999,,,5.95,10.5,38,1.46,,,,12.462624,,,
FCR,2014,2014-04-23 12:00:00,0.1,128,9.29,,,,,9.29,,,,,,
FCR,2014,2014-04-23 12:00:00,0.8,336,12.7,,,,,12.7,,,,,,
FCR,2014,2014-04-23 12:00:00,1.6,190,10.7,,,,,10.7,,,,,,
FCR,2014,2014-04-23 12:00:00,2.8,201,12.5,,,,,12.5,,,,,,
FCR,2014,2014-04-23 12:00:00,3.8,178,9.87,,,,,9.87,,,,,,
FCR,2014,2014-04-23 12:00:00,5,171,12.2,,,,,12.2,,,,,,
FCR,2014,2014-04-23 12:00:00,6.2,,,,,,,,,,,,,
FCR,2014,2014-04-23 12:00:00,8,227,12.2,,,,,12.2,,,,,,
FCR,2014,2014-04-23 12:00:00,9,419,15.7,,,,,15.7,,,11.529128,,,
FCR,2014,2014-04-28 12:00:00,0.1,164,13,2.8,31.6,4.58,2.31,13,,,6.966983,,,
FCR,2014,2014-04-28 12:00:00,0.8,361,17.6,7.39,25.4,11.5,,17.6,,,,,,
FCR,2014,2014-04-28 12:00:00,1.6,208,15.2,7.75,11.8,8.95,,15.2,,,,,,
FCR,2014,2014-04-28 12:00:00,2.8,234,16.5,2.14,10.3,4.9,,16.5,,,,,,
FCR,2014,2014-04-28 12:00:00,3.8,240,12.4,,,,,12.4,,,,,,
FCR,2014,2014-04-28 12:00:00,5,222,10.6,10.3,12.3,4.57,,10.6,,,,,,
FCR,2014,2014-04-28 12:00:00,6.2,158,10.1,4.79,12.5,5.91,,10.1,,,,,,
FCR,2014,2014-04-28 12:00:00,8,208,12.5,4.48,8.98,8.71,,12.5,,,,,,
FCR,2014,2014-04-28 12:00:00,9,161,11.3,4.16,9.78,5.69,1.94,11.3,,,5.385168,,,
FCR,2014,2014-04-28 12:00:00,999,,,8.86,13.8,49.7,3.44,,,,7.184228,,,
FCR,2014,2014-05-05 12:00:00,0.1,188,13.7,3.07,19.3,5.93,1.87,13.7,,,6.171224,,,
FCR,2014,2014-05-05 12:00:00,0.8,163,16.2,3.17,10,1.53,,16.2,,,,,,
FCR,2014,2014-05-05 12:00:00,1.6,158,13.5,2.09,7.21,0.232,,13.5,,,,,,
FCR,2014,2014-05-05 12:00:00,2.8,147,14.9,2.63,10.9,1.17,,14.9,,,,,,
FCR,2014,2014-05-05 12:00:00,3.8,156,13.6,1.84,5.57,1.45,,13.6,,,,,,
FCR,2014,2014-05-05 12:00:00,5,154,12.8,3.87,9.52,1.68,1.78,12.8,,,4.4683,,,
FCR,2014,2014-05-05 12:00:00,6.2,210,14.9,3.03,17.8,2.32,,14.9,,,,,,
FCR,2014,2014-05-05 12:00:00,8,140,9.11,2.1,20,3.38,,9.11,,,,,,
FCR,2014,2014-05-05 12:00:00,9,156,10.8,1.73,19.7,2.64,1.76,10.8,,,5.613142,,,
FCR,2014,2014-05-05 12:00:00,999,,,2.11,14.6,12.9,1.99,,,,5.953112,,,
FCR,2014,2014-05-12 12:00:00,0.1,157,12.4,1.52,3.59,0.296,1.87,12.4,,,3.516666,,,
FCR,2014,2014-05-12 12:00:00,0.8,154,14.8,1.68,7.03,2.22,,14.8,,,,,,
FCR,2014,2014-05-12 12:00:00,1.6,150,11.7,1.59,7.11,2.22,,11.7,,,,,,
FCR,2014,2014-05-12 12:00:00,2.8,147,11.3,1.34,5.59,0.984,,11.3,,,,,,
FCR,2014,2014-05-12 12:00:00,3.8,156,12.6,1.99,8.84,2.48,,12.6,,,,,,
FCR,2014,2014-05-12 12:00:00,5,153,12.5,1.19,12.2,0.823,,12.5,,,,,,
FCR,2014,2014-05-12 12:00:00,6.2,164,8.98,1.45,11.4,1.53,,8.98,,,,,,
FCR,2014,2014-05-12 12:00:00,8,152,9.39,0.91,14.6,5.44,,9.39,,,,,,
FCR,2014,2014-05-12 12:00:00,9,221,16,1.15,9.66,3.06,1.84,16,,,3.616838,,,
FCR,2014,2014-05-12 12:00:00,999,,,1.27,5.07,12.8,1.99,,,,5.79386,,,
FCR,2014,2014-05-19 12:00:00,0.1,181,11.2,2.81,3.74,2.27,1.98,11.2,,,11.105168,,,
FCR,2014,2014-05-19 12:00:00,0.8,212,15.5,2.56,4.22,0.963,,15.5,,,,,,
FCR,2014,2014-05-19 12:00:00,1.6,157,14.5,3.16,7.36,2.21,,14.5,,,,,,
FCR,2014,2014-05-19 12:00:00,2.8,179,17.6,3.3,5.76,12,,17.6,,,,,,
FCR,2014,2014-05-19 12:00:00,3.8,170,11,2.85,7.6,2.35,,11,,,,,,
FCR,2014,2014-05-19 12:00:00,5,174,11.6,2.9,7.01,0.75,1.81,11.6,,,5.870708,,,
FCR,2014,2014-05-19 12:00:00,6.2,158,10.8,3.43,5.57,2.18,,10.8,,,,,,
FCR,2014,2014-05-19 12:00:00,8,151,10,3.39,6.11,1.78,,10,,,,,,
FCR,2014,2014-05-19 12:00:00,9,168,10.6,4.15,9.43,2.53,1.81,10.6,,,3.183042,,,
FCR,2014,2014-05-19 12:00:00,999,,,4.31,10.6,14,1.9,,,,-0.032144,,,
FCR,2014,2014-05-26 12:00:00,0.1,145,10.8,4.83,7.4,2.44,1.93,10.8,,,13.875482,,,
FCR,2014,2014-05-26 12:00:00,0.8,152,11.6,3.84,6.1,4.36,,11.6,,,,,,
FCR,2014,2014-05-26 12:00:00,1.6,,,3.43,7.04,1.97,,,,,,,,
FCR,2014,2014-05-26 12:00:00,2.8,163,14.1,2.01,7.2,1.21,,14.1,,,,,,
FCR,2014,2014-05-26 12:00:00,3.8,173,11.5,2.64,5.51,2.13,,11.5,,,,,,
FCR,2014,2014-05-26 12:00:00,5,159,11.1,2.67,8.6,1.3,2.12,11.1,,,4.067612,,,
FCR,2014,2014-05-26 12:00:00,6.2,157,10.5,3.24,11.4,2.19,,10.5,,,,,,
FCR,2014,2014-05-26 12:00:00,8,142,10.5,2.44,6.68,2.38,,10.5,,,,,,
FCR,2014,2014-05-26 12:00:00,9,161,10.8,3.06,8.79,3.22,2.04,10.8,,,5.613142,,,
FCR,2014,2014-05-26 12:00:00,999,,,4.11,8.09,15.7,1.88,,,,9.747719,,,
FCR,2014,2014-06-02 12:00:00,0.1,203,10.9,3.65,4.84,3.64,1.94,10.9,,,5.019246,,,
FCR,2014,2014-06-02 12:00:00,0.8,178,15.2,5.57,13.1,4.11,,15.2,,,,,,
FCR,2014,2014-06-02 12:00:00,1.6,184,12.1,3.98,12.3,3.17,,12.1,,,,,,
FCR,2014,2014-06-02 12:00:00,2.8,177,18.2,4.14,9.92,2.49,,18.2,,,,,,
FCR,2014,2014-06-02 12:00:00,3.8,183,15.3,4.03,5.73,2.07,,15.3,,,,,,
FCR,2014,2014-06-02 12:00:00,5,166,11.3,3.67,7.13,2.93,,11.3,,,,,,
FCR,2014,2014-06-02 12:00:00,6.2,159,12.7,3.78,12.2,4.2,,12.7,,,,,,
FCR,2014,2014-06-02 12:00:00,8,135,9.43,3.62,7.48,2.66,,9.43,,,,,,
FCR,2014,2014-06-02 12:00:00,9,178,17.2,3.08,8.77,1.97,2.01,17.2,,,4.868988,,,
FCR,2014,2014-06-02 12:00:00,999,,,4.87,11.6,24.6,2.09,,,,4.618558,,,
FCR,2014,2014-06-09 12:00:00,0.1,166,15.3,4.77,6.18,2.11,1.89,15.3,,,6.9726,,,
FCR,2014,2014-06-09 12:00:00,0.8,194,12.6,21.2,10.1,3.36,,12.6,,,,,,
FCR,2014,2014-06-09 12:00:00,1.6,203,11.4,5.57,1.38,3.51,,11.4,,,,,,
FCR,2014,2014-06-09 12:00:00,2.8,187,13,3.73,8.27,2.72,,13,,,,,,
FCR,2014,2014-06-09 12:00:00,3.8,182,11.3,2.95,5.18,1.49,,11.3,,,,,,
FCR,2014,2014-06-09 12:00:00,5,171,9.51,6.11,33.8,4.95,2.3,9.51,,,4.424032,,,
FCR,2014,2014-06-09 12:00:00,6.2,193,11.1,6.02,27.9,4.14,,11.1,,,,,,
FCR,2014,2014-06-09 12:00:00,8,261,17.3,3.56,70.9,5.45,,17.3,,,,,,
FCR,2014,2014-06-09 12:00:00,9,286,24.8,2.8,46.7,74.2,2.15,24.8,,,4.017526,,,
FCR,2014,2014-06-09 12:00:00,999,,,9.77,13.6,49.4,1.86,,,,9.579216,,,
FCR,2014,2014-06-16 12:00:00,0.1,214.91,14.9,4.51,34.2,3.12,2.22,14.9,,,7.924234,,,
FCR,2014,2014-06-16 12:00:00,0.8,134.72,12.9,45.7,17.2,3.14,,12.9,,,,,,
FCR,2014,2014-06-16 12:00:00,1.6,137.66,14.5,4.19,12.8,3.98,,14.5,,,,,,
FCR,2014,2014-06-16 12:00:00,2.8,134.72,11.7,3.39,6.24,1.62,,11.7,,,,,,
FCR,2014,2014-06-16 12:00:00,3.8,154.57,16.7,3.95,7.88,3.67,,16.7,,,,,,
FCR,2014,2014-06-16 12:00:00,5,133.74,8.93,18.8,27.1,3.71,,8.93,,,,,,
FCR,2014,2014-06-16 12:00:00,6.2,161.63,13.2,3.85,41.8,3.83,,13.2,,,,,,
FCR,2014,2014-06-16 12:00:00,8,213.83,13.5,3.96,115,4.96,,13.5,,,,,,
FCR,2014,2014-06-16 12:00:00,9,252.19,15.1,3.73,124,5.66,1.85,15.1,,,3.767096,,,
FCR,2014,2014-06-16 12:00:00,999,,,5.93,9.36,36.3,1.89,,,,9.49184,,,
FCR,2014,2014-06-23 12:00:00,0.1,151.56,13.9,4.61,9.09,3.54,2.05,13.9,,,7.824062,,,
FCR,2014,2014-06-23 12:00:00,0.8,162.65,15.9,5.92,7.66,3.37,,15.9,,,,,,
FCR,2014,2014-06-23 12:00:00,1.6,225,20.7,3.63,8.15,1.04,,20.7,,,,,,
FCR,2014,2014-06-23 12:00:00,2.8,182.14,31.2,5.39,10,3.47,,31.2,,,,,,
FCR,2014,2014-06-23 12:00:00,3.8,231,22.4,4.12,6.57,1.68,,22.4,,,,,,
FCR,2014,2014-06-23 12:00:00,5,195,21.2,3.43,5.77,2.11,,21.2,,,,,,
FCR,2014,2014-06-23 12:00:00,6.2,204,20.3,3.98,36.2,6.36,,20.3,,,,,,
FCR,2014,2014-06-23 12:00:00,8,235.57,14.1,3.95,126,7.88,,14.1,,,,,,
FCR,2014,2014-06-23 12:00:00,9,311.95,17.4,8.66,177,9.12,2.13,17.4,,,5.169504,,,
FCR,2014,2014-06-23 12:00:00,999,,,5.45,7.54,29.1,1.81,,,,9.71028,,,
FCR,2014,2014-06-29 12:00:00,0.1,282,23.8,7.37,3.88,0.426,2.26,23.8,,,8.443328,,,
FCR,2014,2014-06-29 12:00:00,0.8,225,20.9,8.99,7.96,1.31,,20.9,,,,,,
FCR,2014,2014-06-29 12:00:00,1.6,330,18.8,7.89,13,1.55,,18.8,1.421,2.052,,,,
FCR,2014,2014-06-29 12:00:00,2.8,205,23.5,6.17,9.98,1.2,,23.5,2.003,2.989,,,,
FCR,2014,2014-06-29 12:00:00,3.8,284,22.5,8.52,9,0.814,,22.5,1.903,3.059,,,,
FCR,2014,2014-06-29 12:00:00,5,212,20.3,8.57,21.9,1.44,1.83,20.3,1.83,3.448,12.418936,,,
FCR,2014,2014-06-29 12:00:00,6.2,220,17.3,7.66,55.7,1.83,,17.3,,,,,,
FCR,2014,2014-06-29 12:00:00,8,213,19.8,7.13,97.2,2.09,,19.8,1.53,3.37,,,,
FCR,2014,2014-06-29 12:00:00,9,350,20.6,8.61,202,1.5,2.87,20.6,1.863,4.351,8.137512,,,
FCR,2014,2014-06-29 12:00:00,999,,,6.36,7.09,25.6,2.14,,,,2.676512,,,
FCR,2014,2014-06-30 12:00:00,0.1,220,18.9,7.97,4.53,0.669,2.05,18.9,1.94,2.101,9.92872,,,
FCR,2014,2014-06-30 12:00:00,0.8,257,18.4,7.47,10.1,1.23,,18.4,2.084,2.939,,,,
FCR,2014,2014-06-30 12:00:00,1.6,216,17,8.99,8.39,1.39,,17,2.082,2.822,,,,
FCR,2014,2014-06-30 12:00:00,2.8,211,16.9,7.75,10.6,0.676,,16.9,1.933,3.082,,,,
FCR,2014,2014-06-30 12:00:00,3.8,220,23,8.64,7.87,1.07,,23,2.004,3.28,,,,
FCR,2014,2014-06-30 12:00:00,5,211,22,5.66,13.8,2.03,1.92,22,1.917,3.552,8.1812,,,
