Reservoir,Site,Year,Date,Depth,PAR,YSI_TEMP_C,YSI_DO_mgL,YSI_PSAT,pH,YSI_COND_uScm,ORP,Notes
FCR,50,2019,2019-09-15 12:00:00,6,0.09,,,,,,,
FCR,50,2019,2019-09-15 12:00:00,7,0.01,,,,,,,
FCR,50,2019,2019-09-15 12:00:00,8,0,,,,,,,
FCR,50,2019,2019-09-15 12:00:00,9,0,,,,,,,
FCR,50,2019,2019-09-22 12:00:00,-0.1,55.05,,,,,,,
FCR,50,2019,2019-09-22 12:00:00,0.1,40.3,,,,,,,
FCR,50,2019,2019-09-22 12:00:00,1,13.7,,,,,,,
FCR,50,2019,2019-09-22 12:00:00,2,6.9,,,,,,,
FCR,50,2019,2019-09-22 12:00:00,3,2.8,,,,,,,
FCR,50,2019,2019-09-22 12:00:00,4,1,,,,,,,
FCR,50,2019,2019-09-22 12:00:00,5,0.3,,,,,,,
FCR,50,2019,2019-09-22 12:00:00,6,0.02,,,,,,,
FCR,50,2019,2019-09-22 12:00:00,7,0,,,,,,,
FCR,50,2019,2019-09-22 12:00:00,8,0,,,,,,,
FCR,50,2019,2019-09-22 12:00:00,9,0,,,,,,,
FCR,50,2016,2020-06-29 12:00:00,-0.1,1548,,,,,,,
FCR,50,2016,2020-06-29 12:00:00,0.1,977.4,,,,,,,
FCR,50,2016,2020-06-29 12:00:00,0.8,316.1,,,,,,,
FCR,50,2016,2020-06-29 12:00:00,1.6,133.7,,,,,,,
FCR,50,2016,2020-06-29 12:00:00,2.8,52.22,,,,,,,
FCR,50,2016,2020-06-29 12:00:00,3.8,20.44,,,,,,,
FCR,50,2016,2020-06-29 12:00:00,5,5.501,,,,,,,
FCR,50,2016,2020-06-29 12:00:00,6.2,1.347,,,,,,,
FCR,50,2016,2020-06-29 12:00:00,8,0.2127,,,,,,,
FCR,50,2016,2020-06-29 12:00:00,9,0.08202,,,,,,,
FCR,50,2016,2020-07-26 12:00:00,-0.1,73.8,,,,,,,
FCR,50,2016,2020-07-26 12:00:00,0.1,50.4,,,,,,,
FCR,50,2016,2020-07-26 12:00:00,0.8,23.8,,,,,,,
FCR,50,2016,2020-07-26 12:00:00,1.6,13.6,,,,,,,
FCR,50,2016,2020-07-26 12:00:00,2.8,5.55,,,,,,,
FCR,50,2016,2020-07-26 12:00:00,3.8,2.25,,,,,,,
FCR,50,2016,2020-07-26 12:00:00,5,0.689,,,,,,,
FCR,50,2016,2020-07-26 12:00:00,6.2,0.091,,,,,,,
FCR,50,2016,2020-07-26 12:00:00,8,0.004,,,,,,,
FCR,50,2016,2020-07-26 12:00:00,9,0.001,,,,,,,
FCR,50,2016,2020-07-28 12:00:00,-0.1,135.65,,,,,,,
FCR,50,2016,2020-07-28 12:00:00,0.1,18.7,,,,,,,
FCR,50,2016,2020-07-28 12:00:00,0.8,5.64,,,,,,,
FCR,50,2016,2020-07-28 12:00:00,1.6,1.979,,,,,,,
FCR,50,2016,2020-07-28 12:00:00,2.8,0.4978,,,,,,,
FCR,50,2016,2020-07-28 12:00:00,3.8,0.1927,,,,,,,
FCR,50,2016,2020-07-28 12:00:00,5,0.02861,,,,,,,
FCR,50,2016,2020-07-28 12:00:00,6.2,0.0019,,,,,,,
FCR,50,2016,2020-07-28 12:00:00,8,0,,,,,,,
FCR,50,2016,2020-07-28 12:00:00,9,0,,,,,,,
BVR,50,2015,2015-06-18 14:05:00,0.1,1698,29,8.45,,6.9,28.6,,
BVR,50,2015,2015-06-18 14:05:00,1,227.9,28.3,7.8,,6.85,28.6,,
BVR,50,2015,2015-06-18 14:05:00,2,157.9,27.4,8.2,,6.53,28.5,,
BVR,50,2015,2015-06-18 14:05:00,3,156.5,26.1,8.68,,6.44,29.1,,
BVR,50,2015,2015-06-18 14:05:00,4,80.39,22.8,8.6,,6.33,30.3,,
BVR,50,2015,2015-06-18 14:05:00,5,58.83,18.7,7.3,,6.14,30.2,,
BVR,50,2015,2015-06-18 14:05:00,6,16.01,15.2,5.74,,6.08,30.4,,
BVR,50,2015,2015-06-18 14:05:00,7,13.15,12.4,3.4,,5.97,31,,
BVR,50,2015,2015-06-18 14:05:00,8,2.618,10.5,2.67,,5.86,31,,
BVR,50,2015,2015-06-18 14:05:00,9,0.301,9,1.58,,5.87,35.6,,
BVR,50,2015,2015-06-18 14:05:00,10,0.044,8.1,1.5,,6.08,70.3,,
BVR,50,2015,2015-06-18 14:05:00,11,0.022,7.9,1.5,,6.19,80.2,,
BVR,50,2015,2015-06-18 16:33:00,0.1,1038,29.4,7.38,,7.19,30,,
BVR,50,2015,2015-06-18 16:33:00,1,178,28.8,8.32,,7.02,28.8,,
BVR,50,2015,2015-06-18 16:33:00,2,83,27.2,8.24,,6.67,28.7,,
BVR,50,2015,2015-06-18 16:33:00,3,50,25.8,9.11,,6.54,29.6,,
BVR,50,2015,2015-06-18 16:33:00,4,40,24,10.1,,6.52,30.2,,
BVR,50,2015,2015-06-18 16:33:00,5,46,17.4,6.75,,6.23,30.7,,
BVR,50,2015,2015-06-18 16:33:00,6,27,14.6,5.55,,6.1,30.9,,
BVR,50,2015,2015-06-18 16:33:00,7,11,12.1,3.78,,6,31,,
BVR,50,2015,2015-06-18 16:33:00,8,1.5,10.7,,,5.82,31,,
BVR,50,2015,2015-06-18 16:33:00,9,0.18,9.5,,,5.9,32.5,,
BVR,50,2015,2015-06-18 16:33:00,10,0.01,8.5,,,5.93,56.3,,
BVR,50,2015,2015-06-18 16:33:00,11,0,8,,,6.15,77.1,,
BVR,50,2015,2015-06-18 19:05:00,0.1,51,28.8,7.75,,6.88,28.5,,
BVR,50,2015,2015-06-18 19:05:00,1,10,28.7,8.15,,6.68,28.6,,
BVR,50,2015,2015-06-18 19:05:00,2,8.8,28.2,8.15,,6.64,28.5,,
BVR,50,2015,2015-06-18 19:05:00,3,6.7,26.6,7.38,,6.54,28.9,,
BVR,50,2015,2015-06-18 19:05:00,4,4.7,23,8.78,,6.19,30.1,,
BVR,50,2015,2015-06-18 19:05:00,5,2.83,17.7,6.56,,5.93,30.4,,
BVR,50,2015,2015-06-18 19:05:00,6,1.6,14.7,5.33,,5.82,30.5,,
BVR,50,2015,2015-06-18 19:05:00,7,0.741,12.3,3.54,,5.69,31.1,,
BVR,50,2015,2015-06-18 19:05:00,8,0.19,10.8,2.7,,5.6,31,,
BVR,50,2015,2015-06-18 19:05:00,9,0.017,9.6,2.4,,5.6,31.8,,
BVR,50,2015,2015-06-18 19:05:00,10,0.001701,8.4,1.38,,5.79,57.2,,
BVR,50,2015,2015-06-18 19:05:00,11,0,8,1.4,,5.93,70.9,,
BVR,50,2015,2015-06-18 22:10:00,0.1,0,28,6.3,,7.08,28.4,,
BVR,50,2015,2015-06-18 22:10:00,1,0,28,6.58,,7.13,28.4,,
BVR,50,2015,2015-06-18 22:10:00,2,0,27.9,6.17,,7.21,28.4,,
BVR,50,2015,2015-06-18 22:10:00,3,0,26.5,6.65,,7.15,29.1,,
BVR,50,2015,2015-06-18 22:10:00,4,0,23.7,7.57,,7.06,30.1,,
BVR,50,2015,2015-06-18 22:10:00,5,0,18.5,5.74,,6.71,30.3,,
BVR,50,2015,2015-06-18 22:10:00,6,0,13.8,4.2,,6.51,30.7,,
BVR,50,2015,2015-06-18 22:10:00,7,0,11.1,2.65,,6.28,30.7,,
BVR,50,2015,2015-06-18 22:10:00,8,0,9.7,2.01,,6.03,32.1,,
BVR,50,2015,2015-06-18 22:10:00,9,0,8.6,1.18,,5.93,52.8,,
BVR,50,2015,2015-06-18 22:10:00,10,0,8.1,1.16,,6.03,73.5,,
BVR,50,2015,2015-06-18 22:10:00,11,0,7.9,1.15,,6.2,80.6,,
BVR,50,2015,2015-06-19 02:28:00,0.1,0,27.4,6.29,,6.95,28.5,,
BVR,50,2015,2015-06-19 02:28:00,1,0,27.5,5.82,,7.07,28.5,,
BVR,50,2015,2015-06-19 02:28:00,2,0,27.5,6.12,,7.1,28.5,,
BVR,50,2015,2015-06-19 02:28:00,3,0,27.4,6.12,,7.09,28.5,,
BVR,50,2015,2015-06-19 02:28:00,4,0,22,6.04,,6.96,30.5,,
BVR,50,2015,2015-06-19 02:28:00,5,0,17.8,5.32,,6.66,30.6,,
BVR,50,2015,2015-06-19 02:28:00,6,0,14.4,4.2,,6.44,30.9,,
BVR,50,2015,2015-06-19 02:28:00,7,0,12.2,2.97,,5.89,31,,
BVR,50,2015,2015-06-19 02:28:00,8,0,107,2.28,,5.8,31.2,,
BVR,50,2015,2015-06-19 02:28:00,9,0,9.5,2.38,,5.76,32.3,,
BVR,50,2015,2015-06-19 02:28:00,10,0,8,1.17,,5.94,70,,
BVR,50,2015,2015-06-19 02:28:00,11,0,7.9,1.13,,6.12,82.1,,
BVR,50,2015,2015-06-19 03:51:00,0.1,0,27.3,6.22,,7.08,28.5,,
BVR,50,2015,2015-06-19 03:51:00,1,0,27.3,6.22,,7.08,28.5,,
BVR,50,2015,2015-06-19 03:51:00,2,0,27.3,5.9,,7.12,28.5,,
BVR,50,2015,2015-06-19 03:51:00,3,0,26.8,6.02,,7.12,28.7,,
BVR,50,2015,2015-06-19 03:51:00,4,0,22.4,6.07,,6.78,30.3,,
BVR,50,2015,2015-06-19 03:51:00,5,0,18.4,5.08,,6.44,30.5,,
BVR,50,2015,2015-06-19 03:51:00,6,0,14.4,4.22,,6.08,30.8,,
BVR,50,2015,2015-06-19 03:51:00,7,0,12,2.66,,5.83,31.1,,
BVR,50,2015,2015-06-19 03:51:00,8,0,10,1.63,,5.76,31.4,,
BVR,50,2015,2015-06-19 03:51:00,9,0,8.6,1.05,,5.85,48.7,,
BVR,50,2015,2015-06-19 03:51:00,10,0,8.1,1.05,,6.02,70.1,,
BVR,50,2015,2015-06-19 03:51:00,11,0,7.9,1.05,,6.14,79.1,,
BVR,50,2015,2015-06-19 07:50:00,0.1,122,26.8,6.35,,6.85,28.5,,
BVR,50,2015,2015-06-19 07:50:00,1,52.4,26.9,6.24,,6.89,28.5,,
BVR,50,2015,2015-06-19 07:50:00,2,19.2,26.9,5.71,,7,28.5,,
BVR,50,2015,2015-06-19 07:50:00,3,12.22,26.8,6.04,,7.04,28.5,,
BVR,50,2015,2015-06-19 07:50:00,4,7.25,23.3,7.16,,6.9,30.2,,
BVR,50,2015,2015-06-19 07:50:00,5,4.3,18.6,5.85,,6.71,30.4,,
BVR,50,2015,2015-06-19 07:50:00,6,2.67,14.3,4.23,,6.49,30.7,,
BVR,50,2015,2015-06-19 07:50:00,7,1.36,11.9,2.85,,6.32,30.9,,
BVR,50,2015,2015-06-19 07:50:00,8,0.3,10.4,1.86,,5.85,31.3,,
BVR,50,2015,2015-06-19 07:50:00,9,0.017,9.3,2.13,,5.87,37.8,,
BVR,50,2015,2015-06-19 07:50:00,10,0.0034,8.5,1.04,,5.97,58.7,,
BVR,50,2015,2015-06-19 07:50:00,11,0.0017,8,1.02,,6.1,76.4,,
BVR,50,2015,2015-06-19 10:14:00,0.1,1234,26.9,6.94,,7.03,28.4,,
BVR,50,2015,2015-06-19 10:14:00,1,562,26.9,7.17,,7.08,28.4,,
BVR,50,2015,2015-06-19 10:14:00,2,266,26.9,6.64,,7.07,28.4,,
BVR,50,2015,2015-06-19 10:14:00,3,179,26.8,6.42,,7.04,28.4,,
BVR,50,2015,2015-06-19 10:14:00,4,92,22.4,7,,6.87,30.2,,
BVR,50,2015,2015-06-19 10:14:00,5,60,17.8,5.55,,6.52,30.5,,
BVR,50,2015,2015-06-19 10:14:00,6,35,14.9,4.82,,6.27,30.6,,
BVR,50,2015,2015-06-19 10:14:00,7,14.7,12.7,3.55,,6,31,,
BVR,50,2015,2015-06-19 10:14:00,8,1.99,10.8,2.18,,5.88,31.5,,
BVR,50,2015,2015-06-19 10:14:00,9,0.166,9.1,1.1,,5.88,36.7,,
BVR,50,2015,2015-06-19 10:14:00,10,0.04,8.4,0.94,,5.95,62.7,,
BVR,50,2015,2015-06-19 10:14:00,11,0.001,8,0.95,,6.11,76.1,,
BVR,50,2015,2015-06-19 12:58:00,0.1,1371,27.5,6.81,,6.8,28.4,,
BVR,50,2015,2015-06-19 12:58:00,1,763,27.4,7.04,,6.82,28.4,,
BVR,50,2015,2015-06-19 12:58:00,2,341,27.2,6.51,,6.91,28.4,,
BVR,50,2015,2015-06-19 12:58:00,3,227,27.1,6.3,,6.91,28.4,,
BVR,50,2015,2015-06-19 12:58:00,4,75.8,22.1,7,,6.74,30.3,,
BVR,50,2015,2015-06-19 12:58:00,5,43.23,18.9,5.72,,6.48,30.2,,
BVR,50,2015,2015-06-19 12:58:00,6,19.72,14.8,4.35,,6.09,30.8,,
BVR,50,2015,2015-06-19 12:58:00,7,7.335,11.4,2.37,,5.94,30.8,,
BVR,50,2015,2015-06-19 12:58:00,8,1.219,10.4,1.4,,5.86,31.2,,
BVR,50,2015,2015-06-19 12:58:00,9,0.3504,8.8,0.71,,5.81,43,,
BVR,50,2015,2015-06-19 12:58:00,10,0.0136,8.1,0.52,,5.95,68.9,,
BVR,50,2015,2015-06-19 12:58:00,11,0.0017,7.9,0.52,,6.1,79.3,,
BVR,50,2015,2015-07-02 12:16:00,-0.1,1470,,,,,,,
BVR,50,2015,2015-07-02 12:16:00,0.1,880,25.3,6.66,87,6.93,29.6,,
BVR,50,2015,2015-07-02 12:16:00,1,290,25.3,6.61,86.1,7.02,29.5,,
BVR,50,2015,2015-07-02 12:16:00,2,160,25.3,6.82,88.8,7.03,29.5,,
BVR,50,2015,2015-07-02 12:16:00,3,80,25.2,6.71,87.2,7.06,29.6,,
BVR,50,2015,2015-07-02 12:16:00,4,38,24.2,5.94,76.3,6.84,30.1,,
BVR,50,2015,2015-07-02 12:16:00,5,20.7,19,3.4,39.2,6.48,31.7,,
BVR,50,2015,2015-07-02 12:16:00,6,8.6,15.7,3.15,34,6.08,31.9,,
BVR,50,2015,2015-07-02 12:16:00,7,2.6,12.5,1.86,18.5,5.81,32.4,,
BVR,50,2015,2015-07-02 12:16:00,8,0.24,10.3,1.57,14.9,5.81,32.3,,
BVR,50,2015,2015-07-02 12:16:00,9,0.02,9.1,1.23,11.4,5.83,45.1,,
BVR,50,2015,2015-07-02 12:16:00,10,0,8.1,1.31,11.9,6.04,76.7,,
BVR,50,2015,2015-07-02 12:16:00,11,0,8,1.31,11.9,6.1,87.6,,
BVR,50,2015,2015-07-02 12:16:00,11.5,0,8,1.33,11.9,6.17,93.5,,
BVR,50,2015,2015-09-18 12:00:00,-0.1,40,,,,,,,
BVR,50,2015,2015-09-18 12:00:00,0.1,65,,,,,,,
BVR,50,2015,2015-09-18 12:00:00,1,35,,,,,,,
BVR,50,2015,2015-09-18 12:00:00,2,36,,,,,,,
BVR,50,2015,2015-09-18 12:00:00,3,44,,,,,,,
BVR,50,2015,2015-09-18 12:00:00,4,72,,,,,,,
BVR,50,2015,2015-09-18 12:00:00,5,42,,,,,,,
BVR,50,2015,2015-09-18 12:00:00,6,16.4,,,,,,,
BVR,50,2015,2015-09-18 12:00:00,7,5.9,,,,,,,
BVR,50,2015,2015-09-18 12:00:00,8,1.6,,,,,,,
BVR,50,2015,2015-09-18 12:00:00,9,0.385,,,,,,,
BVR,50,2015,2015-09-18 12:00:00,10,0.093,,,,,,,
BVR,50,2015,2015-09-18 12:00:00,11,0.012,,,,,,,
FCR,50,2015,2015-05-05 12:00:00,0.1,,,,,6.86,,,
FCR,50,2015,2015-05-05 12:00:00,0.8,,,,,6.83,,,
FCR,50,2015,2015-05-05 12:00:00,1.6,,,,,6.78,,,
FCR,50,2015,2015-05-05 12:00:00,2.8,,,,,6.71,,,
FCR,50,2015,2015-05-05 12:00:00,3.8,,,,,6.67,,,
FCR,50,2015,2015-05-05 12:00:00,5,,,,,6.48,,,
FCR,50,2015,2015-05-05 12:00:00,6.2,,,,,6.32,,,
FCR,50,2015,2015-05-05 12:00:00,8,,,,,6.24,,,
FCR,50,2015,2015-05-05 12:00:00,9,,,,,6.17,,,
FCR,50,2015,2015-09-28 12:00:00,-0.1,158,,,,,,,
FCR,50,2015,2015-09-28 12:00:00,0.1,103,,,,,,,
FCR,50,2015,2015-09-28 12:00:00,1,23.09,,,,,,,
FCR,50,2015,2015-09-28 12:00:00,2,7.69,,,,,,,
FCR,50,2015,2015-09-28 12:00:00,3,2.46,,,,,,,
FCR,50,2015,2015-09-28 12:00:00,4,0.717,,,,,,,
FCR,50,2015,2015-09-28 12:00:00,5,0.117,,,,,,,
FCR,50,2015,2015-09-28 12:00:00,6,0.012,,,,,,,
FCR,50,2015,2015-09-28 12:00:00,7,0.024,,,,,,,
FCR,50,2015,2015-09-28 12:00:00,8,0,,,,,,,
FCR,50,2015,2015-09-28 12:00:00,9,0,,,,,,,
FCR,50,2015,2015-10-19 12:00:00,-0.1,1398,,,,,,,
FCR,50,2015,2015-10-19 12:00:00,0.1,641,,,,6.16,,,
FCR,50,2015,2015-10-19 12:00:00,1,201.9,,,,6.06,,,
FCR,50,2015,2015-10-19 12:00:00,2,70.1,,,,6.01,,,
FCR,50,2015,2015-10-19 12:00:00,3,31.5,,,,5.99,,,
FCR,50,2015,2015-10-19 12:00:00,4,12.1,,,,5.99,,,
FCR,50,2015,2015-10-19 12:00:00,5,4.9,,,,6.02,,,
FCR,50,2015,2015-10-19 12:00:00,6,2,,,,5.99,,,
FCR,50,2015,2015-10-19 12:00:00,7,0.8,,,,5.99,,,
FCR,50,2015,2015-10-19 12:00:00,8,0.3,,,,6,,,
FCR,50,2015,2015-10-19 12:00:00,9,0.07,,,,5.99,,,
FCR,50,2015,2015-11-09 12:00:00,-0.1,111,,,,,,,
FCR,50,2015,2015-11-09 12:00:00,0.1,71,,,,6.38,,,
FCR,50,2015,2015-11-09 12:00:00,1,27.5,,,,6.32,,,
FCR,50,2015,2015-11-09 12:00:00,2,11.3,,,,6.31,,,
FCR,50,2015,2015-11-09 12:00:00,3,4.6,,,,6.31,,,
FCR,50,2015,2015-11-09 12:00:00,4,1.8,,,,6.31,,,
FCR,50,2015,2015-11-09 12:00:00,5,0.7,,,,6.22,,,
FCR,50,2015,2015-11-09 12:00:00,6,0.3,,,,6.16,,,
FCR,50,2015,2015-11-09 12:00:00,7,0.09,,,,6.14,,,
FCR,50,2015,2015-11-09 12:00:00,8,0.03,,,,6.12,,,
FCR,50,2015,2015-11-09 12:00:00,9,0.01,,,,6.11,,,
FCR,50,2015,2015-12-07 12:00:00,-0.1,333.6,,,,,,,
FCR,50,2015,2015-12-07 12:00:00,0.1,207.8,,,,6.69,,,
FCR,50,2015,2015-12-07 12:00:00,1,79,,,,6.64,,,
FCR,50,2015,2015-12-07 12:00:00,2,31.7,,,,6.61,,,
FCR,50,2015,2015-12-07 12:00:00,3,12.9,,,,6.55,,,
FCR,50,2015,2015-12-07 12:00:00,4,5.1,,,,6.55,,,
FCR,50,2015,2015-12-07 12:00:00,5,2,,,,6.51,,,
FCR,50,2015,2015-12-07 12:00:00,6,0.9,,,,6.48,,,
FCR,50,2015,2015-12-07 12:00:00,7,0.4,,,,6.45,,,
FCR,50,2015,2015-12-07 12:00:00,8,0.15,,,,6.43,,,
FCR,50,2015,2015-12-07 12:00:00,9,0.06,,,,6.42,,,
