FlowmeterSensorID,Date,Site,WidthInterval_m,Depth_cm,Velocity,Velocity_unit,Depth_m,Velocity_m/s,Discharge,Notes
ModelFP111,2019-02-08,F200,0,0,0,ft_s,,,,
ModelFP111,2019-02-08,F200,0.1,1,0,ft_s,,,,
ModelFP111,2019-02-08,F200,0.2,5,0.6,ft_s,,,,
ModelFP111,2019-02-08,F200,0.3,10,0.9,ft_s,,,,
ModelFP111,2019-02-08,F200,0.4,14,1.1,ft_s,,,,
ModelFP111,2019-02-08,F200,0.5,14,1.1,ft_s,,,,
ModelFP111,2019-02-08,F200,0.6,12,1.1,ft_s,,,,
ModelFP111,2019-02-08,F200,0.7,10,1.3,ft_s,,,,
ModelFP111,2019-02-08,F200,0.8,11,1.1,ft_s,,,,
ModelFP111,2019-02-08,F200,0.9,9,0.9,ft_s,,,,
ModelFP111,2019-02-08,F200,1,9,0.8,ft_s,,,,
ModelFP111,2019-02-08,F200,1.1,8,0.6,ft_s,,,,
ModelFP111,2019-02-08,F200,1.2,8.5,0,ft_s,,,,
ModelFP111,2019-02-08,F200,1.3,7,0,ft_s,,,,
ModelFP111,2019-02-08,F200,1.4,1,0,ft_s,,,,
Model FP III,2019-03-18,F200,0.1,0,0,ft_s,,,,
Model FP III,2019-03-18,F200,0.2,2.5,0,ft_s,,,,
Model FP III,2019-03-18,F200,0.3,3,0,ft_s,,,,
Model FP III,2019-03-18,F200,0.4,6.5,0,ft_s,,,,
Model FP III,2019-03-18,F200,0.5,11,0,ft_s,,,,
Model FP III,2019-03-18,F200,0.6,16,0.2,ft_s,,,,
Model FP III,2019-03-18,F200,0.7,15,0.2,ft_s,,,,
Model FP III,2019-03-18,F200,0.8,14,0.4,ft_s,,,,
Model FP III,2019-03-18,F200,0.9,16,0.4,ft_s,,,,
Model FP III,2019-03-18,F200,1,14,0.4,ft_s,,,,
Model FP III,2019-03-18,F200,1.1,14,0.4,ft_s,,,,
Model FP III,2019-03-18,F200,1.2,11,0.6,ft_s,,,,
Model FP III,2019-03-18,F200,1.3,12,0.6,ft_s,,,,
Model FP III,2019-03-18,F200,1.4,13,0.8,ft_s,,,,
Model FP III,2019-03-18,F200,1.5,18,0.6,ft_s,,,,
Model FP III,2019-03-18,F200,1.6,22,0.9,ft_s,,,,
Model FP III,2019-03-18,F200,1.7,23,0.9,ft_s,,,,
Model FP III,2019-03-18,F200,1.8,24,0.2,ft_s,,,,
Model FP III,2019-03-18,F200,1.9,24,0,ft_s,,,,
Model FP III,2019-03-18,F200,2,0,0,ft_s,,,,
Model FP III,2019-04-01,F200,0.1,0,0,ft_s,,,,
Model FP III,2019-04-01,F200,0.2,3,0,ft_s,,,,
Model FP III,2019-04-01,F200,0.3,8,0,ft_s,,,,
Model FP III,2019-04-01,F200,0.4,10,0,ft_s,,,,
Model FP III,2019-04-01,F200,0.5,14,0,ft_s,,,,
Model FP III,2019-04-01,F200,0.6,17,0,ft_s,,,,
Model FP III,2019-04-01,F200,0.7,18,0,ft_s,,,,
Model FP III,2019-04-01,F200,0.8,16,0.2,ft_s,,,,
Model FP III,2019-04-01,F200,0.9,12,0.4,ft_s,,,,
Model FP III,2019-04-01,F200,1,10,0.4,ft_s,,,,
Model FP III,2019-04-01,F200,1.1,11,0.4,ft_s,,,,
Model FP III,2019-04-01,F200,1.2,13,0.4,ft_s,,,,
Model FP III,2019-04-01,F200,1.3,12,0.6,ft_s,,,,
Model FP III,2019-04-01,F200,1.4,12,0.4,ft_s,,,,
Model FP III,2019-04-01,F200,1.5,13,0.4,ft_s,,,,
Model FP III,2019-04-01,F200,1.6,16,0.6,ft_s,,,,
Model FP III,2019-04-01,F200,1.7,19,0.8,ft_s,,,,
Model FP III,2019-04-01,F200,1.8,20,0.8,ft_s,,,,
Model FP III,2019-04-01,F200,1.9,23,0,ft_s,,,,
Model FP III,2019-04-01,F200,2,6,0,ft_s,,,,
Model FP III,2019-04-15,F200,0,0,0,ft_s,,,,
Model FP III,2019-04-15,F200,0.1,4,0,ft_s,,,,
Model FP III,2019-04-15,F200,0.2,7,0,ft_s,,,,
Model FP III,2019-04-15,F200,0.3,8,0,ft_s,,,,
Model FP III,2019-04-15,F200,0.4,7,0,ft_s,,,,
Model FP III,2019-04-15,F200,0.5,9,0,ft_s,,,,
Model FP III,2019-04-15,F200,0.6,11,0,ft_s,,,,
Model FP III,2019-04-15,F200,0.7,15,0.2,ft_s,,,,
Model FP III,2019-04-15,F200,0.8,17,0.4,ft_s,,,,
Model FP III,2019-04-15,F200,0.9,18,0.9,ft_s,,,,
Model FP III,2019-04-15,F200,1,24,1.3,ft_s,,,,
Model FP III,2019-04-15,F200,1.1,24,1.1,ft_s,,,,
Model FP III,2019-04-15,F200,1.2,25,0.9,ft_s,,,,
Model FP III,2019-04-15,F200,1.3,27,1.5,ft_s,,,,
Model FP III,2019-04-15,F200,1.4,31,1.5,ft_s,,,,
Model FP III,2019-04-15,F200,1.5,33,1.7,ft_s,,,,
Model FP III,2019-04-15,F200,1.6,36,1.1,ft_s,,,,
Model FP III,2019-04-15,F200,1.7,39,1.7,ft_s,,,,
Model FP III,2019-04-15,F200,1.8,40,1.7,ft_s,,,,
Model FP III,2019-04-15,F200,1.9,35,1.5,ft_s,,,,
Model FP III,2019-04-15,F200,2,32,0.4,ft_s,,,,
Model FP III,2019-04-15,F200,2.1,21,1.3,ft_s,,,,
Model FP III,2019-04-15,F200,2.2,0,0,ft_s,,,,
Model FP III,2019-04-22,F200,0,1,0,ft_s,,,,
Model FP III,2019-04-22,F200,0.1,4.5,0,ft_s,,,,
Model FP III,2019-04-22,F200,0.2,4,0,ft_s,,,,
Model FP III,2019-04-22,F200,0.3,5.5,0,ft_s,,,,
Model FP III,2019-04-22,F200,0.4,7,0.2,ft_s,,,,
Model FP III,2019-04-22,F200,0.5,9.5,0,ft_s,,,,
Model FP III,2019-04-22,F200,0.6,15.7,0.2,ft_s,,,,
Model FP III,2019-04-22,F200,0.7,13,0.4,ft_s,,,,
Model FP III,2019-04-22,F200,0.8,15.2,0.6,ft_s,,,,
Model FP III,2019-04-22,F200,0.9,15.4,0.8,ft_s,,,,
Model FP III,2019-04-22,F200,1,15,0.9,ft_s,,,,
Model FP III,2019-04-22,F200,1.1,16,0.9,ft_s,,,,
Model FP III,2019-04-22,F200,1.2,16,0.9,ft_s,,,,
Model FP III,2019-04-22,F200,1.3,15.5,0.8,ft_s,,,,
Model FP III,2019-04-22,F200,1.4,16.3,1.3,ft_s,,,,
Model FP III,2019-04-22,F200,1.5,15.7,1.1,ft_s,,,,
Model FP III,2019-04-22,F200,1.6,19,1.3,ft_s,,,,
Model FP III,2019-04-22,F200,1.7,23,1.5,ft_s,,,,
Model FP III,2019-04-22,F200,1.8,25,1.3,ft_s,,,,
Model FP III,2019-04-22,F200,1.9,25.3,0.9,ft_s,,,,
Model FP III,2019-04-22,F200,2,23.9,0.4,ft_s,,,,
Model FP III,2019-04-22,F200,2.1,17.8,0.2,ft_s,,,,
Model FP III,2019-04-22,F200,2.2,4.5,0,ft_s,,,,
Model FP III,2019-04-22,F200,2.3,1,0,ft_s,,,,
Model FP III,2019-04-29,F200,0,0,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F200,0.1,2.5,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F200,0.2,5.5,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F200,0.3,6,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F200,0.4,9,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F200,0.5,11,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F200,0.6,13,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F200,0.7,12,0.2,ft_s,,,,
Model FP III,2019-04-29,F200,0.8,10,0.2,ft_s,,,,
Model FP III,2019-04-29,F200,0.9,10,0.4,ft_s,,,,
Model FP III,2019-04-29,F200,1,11,0.6,ft_s,,,,
Model FP III,2019-04-29,F200,1.1,12,0.6,ft_s,,,,
Model FP III,2019-04-29,F200,1.2,14,0.7,ft_s,,,,
Model FP III,2019-04-29,F200,1.3,14.5,0.8,ft_s,,,,
Model FP III,2019-04-29,F200,1.4,17.5,0.7,ft_s,,,,
Model FP III,2019-04-29,F200,1.5,18.5,0.7,ft_s,,,,
Model FP III,2019-04-29,F200,1.6,15,0.8,ft_s,,,,
Model FP III,2019-04-29,F200,1.7,16,0.9,ft_s,,,,
Model FP III,2019-04-29,F200,1.8,21,0.8,ft_s,,,,
Model FP III,2019-04-29,F200,1.9,22,0.4,ft_s,,,,
Model FP III,2019-04-29,F200,2,12,0,ft_s,,,,
Model FP III,2019-04-29,F200,2.1,0.5,0,ft_s,,,,
Model FP III,2019-04-29,F99,0,0,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F99,0.1,7.5,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F99,0.2,7,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F99,0.3,6.5,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F99,0.4,5,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F99,0.5,4.5,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F99,0.6,6.5,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F99,0.7,11,0,ft_s,,,,
Model FP III,2019-04-29,F99,0.8,17,0.6,ft_s,,,,
Model FP III,2019-04-29,F99,0.9,15,0.6,ft_s,,,,
Model FP III,2019-04-29,F99,1,11.5,0.4,ft_s,,,,
Model FP III,2019-04-29,F99,1.1,11,0.6,ft_s,,,,
Model FP III,2019-04-29,F99,1.2,11,0.8,ft_s,,,,
Model FP III,2019-04-29,F99,1.3,8,0.6,ft_s,,,,
Model FP III,2019-04-29,F99,1.4,7,0.8,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,1.5,9.5,1,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,1.6,11.5,1.1,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,1.7,13.5,1.2,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,1.8,13.5,1.5,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,1.9,17,1.5,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,2,18,1.5,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,2.1,19.5,1.5,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,2.2,19.5,1.5,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,2.3,19,0.9,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,2.4,20,1.1,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,2.5,20.5,1.2,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,2.6,21,1.1,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,2.7,20.5,1.3,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,2.8,21,1.5,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,2.9,20.5,0.9,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,3,19,0.6,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,3.1,17,0.1,ft_s,,,,
Model FP III,2019-04-29,F99,3.2,15.5,0,ft_s,,,,
Model FP III,2019-04-29,F99,3.3,10,0,ft_s,,,,
Model FP III,2019-04-29,F99,3.4,6.5,0,ft_s,,,,"simple flowmeter, potentially below threshold"
Model FP III,2019-04-29,F99,3.5,3,0,ft_s,,,,
Model FP III,2019-04-29,F99,3.6,0,0,ft_s,,,,
Model FP III,2019-04-29,F100,0,0,0,ft_s,,,,
Model FP III,2019-04-29,F100,0.1,4.5,0.9,ft_s,,,,"simple flowmeter, not fully submerged"
Model FP III,2019-04-29,F100,0.2,5,1.5,ft_s,,,,
Model FP III,2019-04-29,F100,0.3,6,0.8,ft_s,,,,
Model FP III,2019-04-29,F100,0.4,5.5,0,ft_s,,,,"simple flowmeter, behind a root"
Model FP III,2019-04-29,F100,0.5,2,0,ft_s,,,,
Model FP III,2019-04-29,F100,0.6,6.5,2.1,ft_s,,,,
Model FP III,2019-04-29,F100,0.7,6,0.6,ft_s,,,,
Model FP III,2019-04-29,F100,0.8,0,0,ft_s,,,,
Model FP III,2019-04-29,F100,0.9,4,0.9,ft_s,,,,"simple flowmeter, not fully submerged"
Model FP III,2019-04-29,F100,1,7,0.6,ft_s,,,,
Model FP III,2019-04-29,F100,1.1,8,1.5,ft_s,,,,
Model FP III,2019-04-29,F100,1.2,13.5,1.7,ft_s,,,,
Model FP III,2019-04-29,F100,1.3,11,1.9,ft_s,,,,
Model FP III,2019-04-29,F100,1.4,10.5,1.5,ft_s,,,,
Model FP III,2019-04-29,F100,1.5,9,0.9,ft_s,,,,
Model FP III,2019-04-29,F100,1.6,5,0,ft_s,,,,"simple flowmeter, not deep enough"
Model FP III,2019-04-29,F100,1.7,2.5,0,ft_s,,,,"simple flowmeter, not deep enough"
Model FP III,2019-04-29,F100,1.8,8.5,2.1,ft_s,,,,
Model FP III,2019-04-29,F100,1.9,8,3,ft_s,,,,
Model FP III,2019-04-29,F100,2,8.5,2.1,ft_s,,,,
Model FP III,2019-04-29,F100,2.1,6.5,3.4,ft_s,,,,
Model FP III,2019-04-29,F100,2.2,6.5,1.9,ft_s,,,,
Model FP III,2019-04-29,F100,2.3,9,3.2,ft_s,,,,
Model FP III,2019-04-29,F100,2.4,6,3,ft_s,,,,
Model FP III,2019-04-29,F100,2.5,8.5,3.2,ft_s,,,,
Model FP III,2019-04-29,F100,2.6,14,3.4,ft_s,,,,
Model FP III,2019-04-29,F100,2.7,8.5,3.8,ft_s,,,,
Model FP III,2019-04-29,F100,2.8,14,3.4,ft_s,,,,
Model FP III,2019-04-29,F100,2.9,8.5,2.3,ft_s,,,,
Model FP III,2019-04-29,F100,3,14,0.4,ft_s,,,,
Model FP III,2019-04-29,F100,3.1,15,0.6,ft_s,,,,
Model FP III,2019-04-29,F100,3.2,8,0.9,ft_s,,,,
Model FP III,2019-04-29,F100,3.3,13,0,ft_s,,,,
Model FP III,2019-04-29,F100,3.4,0,0.4,ft_s,,,,
Model FP III,2019-04-29,F100,3.5,12,0,ft_s,,,,
Model FP III,2019-04-29,F100,3.6,5,0,ft_s,,,,
Model FP III,2019-04-29,F100,3.7,4,0,ft_s,,,,
Model FP III,2019-04-29,F100,3.8,2,0,ft_s,,,,
Model FP III,2019-04-29,F101,0.1,10,0,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,0.2,11,0.9,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,0.3,9,2.3,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,0.4,2.5,1.5,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,0.5,7,1.3,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,0.6,6,0.6,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,0.7,10.5,2.3,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,0.8,9,2.3,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,0.9,11,1.1,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,1,9,0.2,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,1.1,8.5,0.9,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,1.2,1.5,0.8,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,1.3,5,1.1,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,1.4,6.5,1.5,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,1.5,5.5,2.1,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,1.6,9,1.1,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,1.7,13,2.1,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,1.8,12,2.5,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,1.9,10,2.3,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,2,8.5,1.3,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,2.1,11.5,1.5,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,2.2,12,2.3,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,2.3,13,1.5,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,2.4,1,0,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,2.5,1,0,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,2.6,6,1.5,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,2.7,6,1.3,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,2.8,8,0.9,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,2.9,10.5,2.7,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,3,11,2.1,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,3.1,6,1.7,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,3.2,6,1.7,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,3.3,9,1.1,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,3.4,4,0.8,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,3.5,6,0,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,3.6,0,0,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,3.7,6,0.8,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,3.8,7,0.8,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,3.9,4.5,0.2,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,4,0,0,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,4.1,7,0.8,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,4.2,10,1.5,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,4.3,6,1.9,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F101,4.4,4,1.1,ft_s,,,,"Total width ~4.42ish (undercut bank so no 0,0 at the end)"
Model FP III,2019-04-29,F102,0,0,0,ft_s,,,,
Model FP III,2019-04-29,F102,0.1,2,0,ft_s,,,,
Model FP III,2019-04-29,F102,0.2,6,0,ft_s,,,,
Model FP III,2019-04-29,F102,0.3,6,0,ft_s,,,,
Model FP III,2019-04-29,F102,0.4,6.5,0,ft_s,,,,
Model FP III,2019-04-29,F102,0.5,9,1.1,ft_s,,,,
Model FP III,2019-04-29,F102,0.6,10.5,1.5,ft_s,,,,
Model FP III,2019-04-29,F102,0.7,11.5,1.1,ft_s,,,,
Model FP III,2019-04-29,F102,0.8,11,1.7,ft_s,,,,
Model FP III,2019-04-29,F102,0.9,10,1.5,ft_s,,,,
Model FP III,2019-04-29,F102,1,9.5,1.7,ft_s,,,,
